id,JUST_IND,JUST_100,WGT_SCORE,PAY,TREAT,SUPPLY,COMM,JOBS,PROD,CUST,LEAD,ENV,INVEST,PAY.LIVING,PAY.PTO,PAY.HEALTH,PAY.FAIR,PAY.RETIRE,PAY.DISC,PAY.CEO,TREAT.SAFE,TREAT.WLB,TREAT.EDU,TREAT.DISC,TREAT.LAYOFF,TREAT.RESPECT,SUPPLY.ABUSE,SUPPLY.CONFLICT,SUPPLY.REPRESS,COMM.RELS,COMM.CHARITY,JOBS.US,PROD.BEN,PROD.QUAL,CUST.FAIR,CUST.RELS,CUST.DISC,CUST.PRIV,LEAD.LAWS,LEAD.INTEGRITY,LEAD.TRUTH,LEAD.TAX,LEAD.POLITICS,ENV.POLLUTION,ENV.MGMT,ENV.EFFICIENT,INVEST.ACCURATE,INVEST.PROFIT,INVEST.RETURN
20,1,No,50.96156353,48.73738768,47.00749051,57.6370969,56.94630953,50,58.86508995,53.19145607,55.53173139,58.07560108,36.79756614,69.40378178,63.01381056,40.54933114,43.19338686,-5.259234873,45.57447704,55.11202607,30.80184625,90.1835158,30.39903171,62.32013451,50,40.12323677,65.41646013,46.99516971,54.66672794,61.41094184,43.07444708,50,53.17658714,63.70255691,50,55.34173465,50,57.23372291,55.93094467,58.98451278,54.22577127,50.88709006,50,65.15611114,62.652554,44.54689575,35.34802582,49.25283084,19.66089955
21,1,No,52.35402931,57.60095865,58.87030047,50.75430212,37.31056344,50,35.65656899,39.74131011,55.38360883,47.42267088,30.73263318,69.40378178,49.21128421,50,53.10308646,44.95254809,45.57447704,78.75425825,42.12726709,76.87855257,33.93016946,62.32013451,50,78.53691855,40.30010663,65.14681853,54.66672794,35.45546854,43.07444708,50,31.95196428,38.8069415,50,55.34173465,50,9.697502984,55.93094467,62.96279718,54.22577127,42.73769538,50,50,44.91155985,47.51745654,3.296832312,104.6399948,6.730512583
24,1,No,51.73833805,54.39587308,53.05437836,62.24013538,37.31056344,50,43.68667294,53.19145607,44.64507675,52.65291699,62.94977601,69.40378178,35.40875786,41.4810863,51.841115,59.53623172,45.57447704,61.0899566,55.85962254,43.27830974,31.85142645,62.32013451,50,48.53078825,71.6955485,53.88027788,54.66672794,35.45546854,43.07444708,50,20.14947606,63.70255691,50,55.34173465,50,57.23372291,55.93094467,60.53521188,54.22577127,-22.51620602,50,68.86312313,44.91155985,43.5732892,67.39921933,46.64048393,74.86575825
25,1,No,50.00025316,57.3134645,49.48684645,48.85906501,56.94630953,35.55518149,46.87733309,53.19145607,43.57175816,47.20534463,54.56575612,69.40378178,63.01381056,41.91579901,58.66031659,65.96825686,45.57447704,53.8486042,42.12726709,37.08045343,56.85576093,62.32013451,50,43.59687494,40.30010663,57.63579143,54.66672794,61.41094184,43.07444708,35.55518149,27.09211619,63.70255691,50,55.34173465,50,57.23372291,23.86734224,56.89491343,54.22577127,55.44336523,25.85380218,47.94402731,48.45975868,44.86039582,67.39921933,39.87970198,28.88886417
26,1,No,55.06472731,62.62480085,53.23562015,49.14173387,56.94630953,50,33.10404088,53.19145607,57.43920612,47.73366657,63.75712439,69.40378178,35.40875786,53.36196317,71.68283913,75.21292623,45.57447704,62.99180835,46.70471891,45.23884702,62.77345504,62.32013451,50,50.46167522,52.85828338,36.04158853,54.66672794,61.41094184,43.07444708,50,26.39785218,38.8069415,50,55.34173465,50,57.23372291,55.93094467,63.52000252,54.22577127,55.06159628,50,53.37697297,48.45975868,40.46191372,67.39921933,57.28166222,60.75273107
30,1,No,57.09208044,50.9767297,63.65958929,55.97876442,56.94630953,50,70.21474669,53.19145607,59.06331011,50.83637155,55.6534042,69.40378178,63.01381056,40.75888687,30.07630312,51.14958981,45.57447704,80.36777105,65.01452618,65.93843165,71.27740372,62.32013451,50,66.11978281,65.41646013,40.42302101,54.66672794,61.41094184,43.07444708,50,77.87259949,63.70255691,50,55.34173465,50,57.23372291,55.93094467,64.51154754,54.22577127,63.80235855,50,50.93561401,55.55615634,45.05250592,67.39921933,42.82632353,31.01256014
34,1,No,53.98721579,58.99916825,51.30291775,64.96453873,56.94630953,44.32354407,67.34315256,53.19145607,53.52686129,58.57002909,17.42459389,69.40378178,49.21128421,42.39234045,43.55131369,78.74205123,84.29780293,53.72667224,38.13313481,85.17893945,60.69471203,62.32013451,50,42.90377184,71.6955485,64.67737933,54.66672794,61.41094184,43.07444708,44.32354407,71.62422337,63.70255691,50,55.34173465,50,57.23372291,55.93094467,48.25363072,54.22577127,57.2761057,50,44.74502517,62.652554,69.34141685,3.296832312,32.99890673,46.79139646
36,2,Yes,61.6971629,70.93054577,81.91275973,69.65176213,63.41045481,50,40.95814293,49.37066748,44.93064707,55.92230879,19.56076935,67.95607515,71.06354544,81.16866405,79.5284939,88.29473425,41.46087436,77.40743554,73.75173124,88.73156956,78.17952359,105.3398591,50,74.97930121,93.05877242,50,50,38.70379857,140.1754184,50,83.45957327,4.815194294,50,47.87197066,50,49.38749354,56.31769347,31.49719937,29.01878658,60.27046207,53.94841766,34.93365033,74.34146689,57.58997734,-11.57651067,68.1641567,57.78653817
37,2,No,52.56583448,69.12833548,42.27514895,42.59757311,39.77531714,50,41.03511844,48.52296843,48.70746043,54.91258682,65.80221962,67.95607515,70.14475995,74.27928473,70.93407197,69.44722076,67.07825128,64.7016954,45.47586072,42.93657129,30.4934726,26.28291755,50,57.20093367,33.78061913,50,50,38.70379857,43.10458531,50,26.69779718,53.22748612,50,44.42174978,50,49.0046179,49.39270963,45.92033433,58.24294548,39.49150405,56.20465633,58.55974507,52.86745772,53.23430329,59.47330933,67.68543696,88.41114905
38,2,No,51.31100049,49.56107255,57.87948473,53.95796547,58.08766805,50,41.03511844,51.50967771,51.75282084,31.0375737,56.82135663,67.95607515,65.524906,50.44700125,55.71071449,69.77029427,41.46087436,-4.784394451,56.78620893,56.76194408,61.36089168,65.8113883,50,52.22575328,58.67225715,50,50,62.90994449,43.10458531,50,26.69779718,53.22748612,50,29.93076412,50,70.53549915,43.0670168,57.22998414,58.24294548,51.08002041,69.74208831,27.84963615,20.5925965,47.20332546,59.47330933,49.30033283,59.84128805
